case_id,round,queue_id,scenario,coverage_window,case_created_at,alert_received_at,human_ack_at,safe_action_at,closed_at,alert_minutes,human_ack_minutes,safe_action_minutes,required_fields_complete,lost_case,unauthorized_irreversible_self_approval,expected_result,actual_result,status,operator,independent_verifier,evidence_reference,defect_or_exception
SLA-N01,Normal,OPS-Q01,New Place intake,08:00-22:00 ICT,,,,,,,,,not_run,not_run,not_run,"Complete case owner state SLA next action and evidence",,Planned,Founder,VACANT — Gate blocker,,
SLA-N02,Normal,OPS-Q02,Publish readiness review,08:00-22:00 ICT,,,,,,,,,not_run,not_run,not_run,"Complete required fields and no unauthorized publish",,Planned,Founder,VACANT — Gate blocker,,
SLA-N03,Normal,OPS-Q03,Correction with evidence,08:00-22:00 ICT,,,,,,,,,not_run,not_run,not_run,"Acknowledge and route with complete record",,Planned,Founder,VACANT — Gate blocker,,
SLA-N04,Normal,OPS-Q04,Normal trust request,08:00-22:00 ICT,,,,,,,,,not_run,not_run,not_run,"Prioritize by risk and preserve evidence",,Planned,Founder,VACANT — Gate blocker,,
SLA-N05,Normal,OPS-Q05,Stale source,08:00-22:00 ICT,,,,,,,,,not_run,not_run,not_run,"Retry or queue with next action",,Planned,Founder,VACANT — Gate blocker,,
SLA-N06,Normal,OPS-Q06,Sponsored disclosure check,08:00-22:00 ICT,,,,,,,,,not_run,not_run,not_run,"Campaign paused when disclosure fails",,Planned,Founder,VACANT — Gate blocker,,
SLA-N07,Normal,OPS-Q07,Non-critical worker alert,08:00-22:00 ICT,,,,,,,,,not_run,not_run,not_run,"Triage owner and evidence recorded",,Planned,Founder,VACANT — Gate blocker,,
SLA-N08,Normal,OPS-Q03,Needs Evidence pause,08:00-22:00 ICT,,,,,,,,,not_run,not_run,not_run,"SLA pause reason and resume trigger recorded",,Planned,Founder,VACANT — Gate blocker,,
SLA-N09,Normal,OPS-Q05,Duplicate Place candidate,08:00-22:00 ICT,,,,,,,,,not_run,not_run,not_run,"No duplicate publish and decision recorded",,Planned,Founder,VACANT — Gate blocker,,
SLA-N10,Normal,OPS-Q01,Handover of blocked intake,08:00-22:00 ICT,,,,,,,,,not_run,not_run,not_run,"No lost case and next owner/action present",,Planned,Founder,VACANT — Gate blocker,,
SLA-I01,Incident/Trust,OPS-Q07,S1 availability alert,08:00-22:00 ICT,,,,,,,,,not_run,not_run,not_run,"Alert <=5m and human acknowledgement <=60m",,Planned,Founder,VACANT — Gate blocker,,
SLA-I02,Incident/Trust,OPS-Q04,P0 harmful content safe-hide,08:00-22:00 ICT,,,,,,,,,not_run,not_run,not_run,"P0 safe-hide <=15m with evidence preserved",,Planned,Founder,VACANT — Gate blocker,,
SLA-I03,Incident/Trust,OPS-Q05,Source becomes unavailable,08:00-22:00 ICT,,,,,,,,,not_run,not_run,not_run,"Fallback and queue record created",,Planned,Founder,VACANT — Gate blocker,,
SLA-I04,Incident/Trust,OPS-Q03,Urgent correction,08:00-22:00 ICT,,,,,,,,,not_run,not_run,not_run,"Safe state and evidence-based route",,Planned,Founder,VACANT — Gate blocker,,
SLA-I05,Incident/Trust,OPS-Q04,Rights takedown and appeal separation,08:00-22:00 ICT,,,,,,,,,not_run,not_run,not_run,"No irreversible self-approval",,Planned,Founder,VACANT — Gate blocker,,
SLA-I06,Incident/Trust,OPS-Q07,Failed background job,08:00-22:00 ICT,,,,,,,,,not_run,not_run,not_run,"Retry dead-letter and escalation recorded",,Planned,Founder,VACANT — Gate blocker,,
SLA-I07,Incident/Trust,OPS-Q07,Incident handover,08:00-22:00 ICT,,,,,,,,,not_run,not_run,not_run,"No lost case and full handover fields",,Planned,Founder,VACANT — Gate blocker,,
