candidate_id,target_slot,subject_type,target_segment,eligibility_check,contact_reference_private,outreach_status,outreach_at,response,schedule_status,scheduled_at,final_subject_code,exclusion_reason,evidence_reference,created_by,status,next_action
UC-001,U-01,User,"Vientiane resident with restaurant search in last 30 days",Pending,,Not contacted,,,Not scheduled,,,,,Founder,Planned,"Founder identifies a real candidate and stores contact privately"
UC-002,U-02,User,"Vientiane resident with restaurant search in last 30 days",Pending,,Not contacted,,,Not scheduled,,,,,Founder,Planned,"Founder identifies a real candidate and stores contact privately"
UC-003,U-03,User,"Vientiane resident with restaurant search in last 30 days",Pending,,Not contacted,,,Not scheduled,,,,,Founder,Planned,"Founder identifies a real candidate and stores contact privately"
UC-004,U-04,User,"Vientiane resident with restaurant search in last 30 days",Pending,,Not contacted,,,Not scheduled,,,,,Founder,Planned,"Founder identifies a real candidate and stores contact privately"
UC-005,U-05,User,"Vientiane resident with restaurant search in last 30 days",Pending,,Not contacted,,,Not scheduled,,,,,Founder,Planned,"Founder identifies a real candidate and stores contact privately"
UC-006,U-06,User,"Recent Vientiane visitor with restaurant search in last 30 days",Pending,,Not contacted,,,Not scheduled,,,,,Founder,Planned,"Founder identifies a real candidate and stores contact privately"
UC-007,U-07,User,"Recent Vientiane visitor with restaurant search in last 30 days",Pending,,Not contacted,,,Not scheduled,,,,,Founder,Planned,"Founder identifies a real candidate and stores contact privately"
UC-008,U-08,User,"Recent Vientiane visitor with restaurant search in last 30 days",Pending,,Not contacted,,,Not scheduled,,,,,Founder,Planned,"Founder identifies a real candidate and stores contact privately"
OC-001,O-01,Owner,"Lao-food restaurant owner or decision-maker",Pending,,Not contacted,,,Not scheduled,,,,,Founder,Planned,"Founder identifies a real candidate and stores contact privately"
OC-002,O-02,Owner,"Lao-food restaurant owner or decision-maker",Pending,,Not contacted,,,Not scheduled,,,,,Founder,Planned,"Founder identifies a real candidate and stores contact privately"
OC-003,O-03,Owner,"Lao-food restaurant owner or decision-maker",Pending,,Not contacted,,,Not scheduled,,,,,Founder,Planned,"Founder identifies a real candidate and stores contact privately"
OC-004,O-04,Owner,"Visitor-oriented restaurant owner or decision-maker",Pending,,Not contacted,,,Not scheduled,,,,,Founder,Planned,"Founder identifies a real candidate and stores contact privately"
OC-005,O-05,Owner,"New restaurant owner or decision-maker",Pending,,Not contacted,,,Not scheduled,,,,,Founder,Planned,"Founder identifies a real candidate and stores contact privately"
OC-006,O-06,Owner,"Social-media-active restaurant owner or decision-maker",Pending,,Not contacted,,,Not scheduled,,,,,Founder,Planned,"Founder identifies a real candidate and stores contact privately"
