screen_id,route,requirement_ids,function_ids,entities,events,content_policy,design_source,acceptance_owner,status
SCR-G01,/discover,USR-01|ACT-01,F01-F06|F45-F47,Place|ContentItem|SourceRef|ActionAvailability,feed_view|place_open|map_click|call_click|message_click,CON-02|CON-04|CON-05,UX-02 1.2|UX-03 0.9.4|UX-04 0.9.4,Product Owner|Frontend Lead,baseline_ready
SCR-G02,/search,USR-02,F07-F14,SearchQuery|Filter|Place|SourceRef,search_submit|filter_apply|view_switch|result_open,CON-01|CON-02|CON-05,UX-02 1.2|UX-03 0.9.4|UX-04 0.9.4,Product Owner|Frontend Lead,baseline_ready
SCR-G03,/places/:placeId,USR-03|ACT-01,F15-F25|F45-F48,Place|PlaceFact|CategoryDetail|ContentItem|SourceRef|ActionAvailability,place_view|source_open|map_click|call_click|message_click|correction_open,CON-02|CON-04|CON-05,UX-02 1.2|UX-03 0.9.4|UX-04 0.9.4,Product Owner|Content Trust Owner,baseline_ready
SCR-G05,/privacy/settings,NFR-04,F60-F64,ConsentRecord|PrivacyNotice,consent_view|consent_save|consent_withdraw,CON-05|TEC-06 pending,UX-04 0.9.4,Product Owner|Accessibility QA,baseline_pending_technical
SCR-A00,/admin,ADM-PORTAL-R5,TBD_PRO02_EXTENSION,DashboardMetric|AttentionItem|PartnerPipeline|FinancialSnapshot,dashboard_view|global_filter|metric_drilldown|snapshot_share,BUS-02|BUS-03|CON-05,UX-05 0.11.0|Admin Prototype R5.0,Product Owner|Operations Owner,design_handoff_ready_sa_extension_pending
SCR-A01,/admin/queue,ADM-01,F26-F31,WorkItem|Assignment|UserRole|AuditEvent,queue_view|filter_apply|work_open,CON-02|CON-04,PRO-02 1.0|UX-05 0.11.0|Admin Prototype R5.0,Frontend Lead|Operations Owner,design_handoff_ready
SCR-A02,/admin/places/:placeId,ADM-02,F32-F39,Place|PlaceVersion|SourceRef|PublishCheck|AuditEvent,place_edit|draft_save|review_submit|conflict_compare,CON-01|CON-02|CON-03,PRO-02 1.0|UX-05 0.11.0|Admin Prototype R5.0,Frontend Lead|Data Steward,design_handoff_ready
SCR-A03,/admin/trust/:caseId,ADM-03,F40-F44,ModerationCase|Evidence|Decision|Appeal|AuditEvent,case_view|decision_save|decision_apply|appeal_open,CON-04|CON-05,PRO-02 1.0|UX-05 0.11.0|Admin Prototype R5.0,Content Trust Owner|Accessibility QA,design_handoff_ready
SCR-A04,/admin/content,ADM-PORTAL-R5,TBD_PRO02_EXTENSION,ContentItem|SourceRef|RightsReview|PlaceMatch|PublishSchedule,source_add|rights_review|place_match|publish_schedule,CON-01|CON-03|CON-04,UX-05 0.11.0|Admin Prototype R5.0,Content Trust Owner|Data Steward,design_handoff_ready_sa_extension_pending
SCR-A05,/admin/partners,ADM-PORTAL-R5,TBD_PRO02_EXTENSION,Partner|Contact|Activity|PilotPayment|PerformanceSummary|Renewal,partner_create|stage_change|activity_schedule|payment_record|renewal_review,BUS-02|BUS-03|CON-05,UX-05 0.11.0|Admin Prototype R5.0,Commercial Owner|Finance Owner,design_handoff_ready_sa_extension_pending
SCR-A06,/admin/campaigns,ADM-PORTAL-R5,TBD_PRO02_EXTENSION,Campaign|Creative|SponsoredDisclosure|DeliveryMetric|PaymentEvidence,campaign_create|creative_approve|campaign_launch|campaign_pause|payment_reconcile,CON-05|BUS-03,UX-05 0.11.0|Admin Prototype R5.0,Commercial Owner|Content Trust Owner,design_handoff_ready_sa_extension_pending
SCR-A07,/admin/analytics,ADM-PORTAL-R5,TBD_PRO02_EXTENSION,AnalyticsEvent|MetricDefinition|Attribution|AggregateReport,analytics_view|global_filter|metric_drilldown|report_export,CON-05|TEC-06 pending,UX-05 0.11.0|Admin Prototype R5.0,Product Owner|Privacy Owner,design_handoff_ready_sa_extension_pending
SCR-A08,/admin/finance,ADM-PORTAL-R5,TBD_PRO02_EXTENSION,PaymentEvidence|Invoice|Expense|BudgetGate|CashSnapshot,payment_record|evidence_attach|expense_approve|gate_review|finance_export,BUS-02|BUS-03,UX-05 0.11.0|Admin Prototype R5.0,Finance Owner|Product Owner,design_handoff_ready_sa_extension_pending
SCR-A09,/admin/settings,ADM-PORTAL-R5,TBD_PRO02_EXTENSION,User|Role|Permission|RecordRule|Integration|FeatureFlag|AuditEvent,user_invite|role_assign|integration_configure|flag_change|audit_open,CON-04|CON-05|TEC-01 pending,UX-05 0.11.0|Admin Prototype R5.0,Technical Lead|Security Owner,design_handoff_ready_sa_extension_pending
