check_id,stage,check,owner,evidence,result,release_rule
"REL-01","plan","Name release commander and change set","Release Commander","","not_checked","required"
"REL-02","plan","Record risk, affected contracts, maintenance and communication","Release Commander","","not_checked","required"
"REL-03","preflight","Verify QA/UAT/G-SEC/Operations sign-off","Product Owner","","not_checked","blocking"
"REL-04","preflight","Verify current off-host backup and continuous WAL","Recovery Owner","","not_checked","blocking"
"REL-05","preflight","Verify disk/resource reserve and no active S1/S2","Operations","","not_checked","blocking"
"REL-06","preflight","Record source commit, image digest, SBOM and scans","Release Owner","","not_checked","blocking"
"REL-07","preflight","Review migration lock/time/forward-fix/restore plan","Tech Lead","","not_checked","blocking"
"REL-08","protect","Announce maintenance and pause unsafe worker/write if needed","Operations","","not_checked","required"
"REL-09","deploy","Run one-shot migration and record outcome","Tech Lead","","not_checked","blocking"
"REL-10","deploy","Deploy pinned Compose image digest","Release Owner","","not_checked","blocking"
"REL-11","verify","Check health, HTTPS and external availability","QA/Operations","","not_checked","blocking"
"REL-12","verify","Check OIDC, MFA, negative authorization and audit","QA/Security","","not_checked","blocking"
"REL-13","verify","Check Published-only boundary and restricted-data absence","QA/Security","","not_checked","blocking"
"REL-14","verify","Check Feed, Search, Place and Decision Intent","QA/Product","","not_checked","blocking"
"REL-15","verify","Check worker, outbox, projection and analytics quality","Tech/Data","","not_checked","required"
"REL-16","observe","Observe ALT-01—08 for approved window","Operations","","not_checked","blocking"
"REL-17","close","Record Go/Rollback decision, timings and evidence","Release Commander","","not_checked","required"
"REL-18","handover","Communicate result, limitation, support and next owner","Operations","","not_checked","required"
"REL-19","handover","Confirm 24x7 alert/safe automation and disclose that human S1 SLA applies only during 08:00–22:00 ICT until backup On-call exists","Operations/Product","coverage record and public/internal wording","not_checked","required"
