id,category,severity,condition_or_signal,window_or_threshold,response,owner,runbook,status,evidence_source,review_cadence,notes
ALR-01,Operational and Security,P0,"Suspected breach, account takeover, audit pipeline disabled or data corruption","Immediate; threshold finalized in TEC-06","Contain access or write path, preserve evidence and open incident",Security Owner,RUN-SEC-P0,Draft,"Grafana security events, audit and provider logs",Monthly,"No automatic destructive remediation"
ALR-02,Availability,P1,"Production unavailable or core journey error budget exhausted","Sustained window finalized from PRO-04 SLO","Check deployment and dependencies, then rollback or follow recovery runbook",On-call Tech,RUN-AVL-P1,Draft,"Synthetic check, HTTP metrics and traces",Monthly,"Exact SLO pending approval"
ALR-03,Database and Recovery,P1,"Database unavailable, backup failed or restore evidence expired","Immediate for outage or backup failure; restore expiry set in TEC-06","Protect writes and start database recovery procedure",Tech and Operations,RUN-DB-P1,Draft,"Provider metrics, backup status and restore register",Monthly,"Restore test evidence is mandatory"
ALR-04,Worker,P1,"Critical dead job exists or oldest queue age exceeds approved threshold","Dead job greater than zero for critical task or sustained queue age","Inspect root cause before stop or replay",Backend Lead,RUN-JOB-P1,Draft,"Graphile Worker metrics, job logs and outbox lag",Monthly,"Replay must preserve idempotency"
ALR-05,Performance,P2,"Search or Place p95 latency or error rate exceeds PRO-04 target","Sustained window finalized after load test","Trace slow path and compare with previous release",Tech Lead,RUN-PERF-P2,Draft,"HTTP metrics, database spans and release marker",Monthly,"Do not alert on one isolated request"
ALR-06,Dependency,P2,"External provider timeout or fallback rate exceeds approved threshold","Sustained window and minimum request count","Activate fallback and review provider status",Integration Owner,RUN-EXT-P2,Draft,"Dependency spans, provider status and quota",Monthly,"Separate provider failure from client cancellation"
ALR-07,Security,P2,"Unusual security pattern without confirmed compromise","Detection-specific threshold","Triage, preserve evidence and escalate when correlated",Security Owner,RUN-SEC-P2,Draft,"Normalized security events",Monthly,"May elevate to P1 or P0"
ALR-08,Cost and Capacity,P3,"Storage, telemetry ingest or monthly cost exceeds forecast","Budget threshold and growth rate finalized with Finance","Review sampling, retention and capacity before changing plan",Operations,RUN-COST-P3,Draft,"Provider usage, invoice and approved forecast",Monthly,"Never hide incidents by dropping required security events"
SEC-DET-01,Security Detection,P2,"Repeated login or MFA failures by account, IP or device","Threshold finalized after Pilot baseline","Rate limit and triage; elevate for privileged account or correlated success",Security Owner,RUN-SEC-AUTH,Draft,"OIDC and application authentication events",Monthly,"Store only approved pseudonymous identifiers"
SEC-DET-02,Security Detection,P1,"User, role or permission created, elevated, disabled or policy bypass attempted","Every unplanned privileged change","Verify owner, revoke unexpected access and preserve audit evidence",Security Owner,RUN-SEC-ROLE,Draft,"OIDC, application audit and deployment records",Monthly,"Planned changes require approved change reference"
SEC-DET-03,Security Detection,P2,"401 or 403 burst, cross-record access or restricted module enumeration","Threshold finalized from normal Admin behavior","Block or rate limit when approved and investigate actor context",Security Owner,RUN-SEC-AUTHZ,Draft,"Application, edge and audit events",Monthly,"Avoid IP-only attribution"
SEC-DET-04,Security Detection,P1,"Restricted evidence viewed or downloaded outside normal role, time or volume","Every access outside approved policy","Revoke signed access and review actor and object scope",Security Owner,RUN-SEC-EVIDENCE,Draft,"Application, R2 and audit events",Monthly,"Evidence URL must not appear in general logs"
SEC-DET-05,Security Detection,P1,"Large export, repeated pagination or unusual object reads","Approved export and volume thresholds","Suspend export path if safe and preserve export evidence",Security Owner,RUN-SEC-EXFIL,Draft,"Application, database, R2 and audit events",Monthly,"Account for legitimate operational exports"
SEC-DET-06,Security Detection,P0,"Audit write failed, alert rule disabled, security log volume unexpectedly zero or clock drift detected","Immediate for audit failure; missing-data window finalized in TEC-06","Rollback privileged mutation where applicable and open incident",Security Owner,RUN-SEC-TAMPER,Draft,"Application, Grafana and provider control-plane events",Monthly,"Telemetry health needs an independent signal"
SEC-DET-07,Security Detection,P1,"Environment, token, webhook, deployment or database access policy changed","Every unplanned production change","Rotate or revert, verify change authority and inspect access",Security Owner,RUN-SEC-CONFIG,Draft,"Render, R2, OIDC and repository deployment records",Monthly,"Never log the secret value"
SEC-DET-08,Security Detection,P0,"Mass state change, impossible transition, duplicate payment evidence or unexpected delete","Domain thresholds finalized from PRO-02 and TEC-04","Freeze affected write path and reconcile source of truth",Tech and Security,RUN-SEC-INTEGRITY,Draft,"Application, database audit and finance evidence",Monthly,"Severity may be P1 when scope is contained"
