retention_id,data_class,data_name,purpose,trigger,online_retention,archive_retention,consent_or_notice,access_roles,deletion_method,legal_hold,owner,approval_state,evidence,status
"RET-01","DATA-C2","Essential anonymous session","Session security and rate limiting","last activity or expiry","30 days","none","Essential notice","platform_admin","automated hard delete or irreversible anonymization","supported with approved incident or legal case","Identity / Platform Owner","technical_baseline_approved_legal_review_required","purge job report","planned"
"RET-02","DATA-C3","Network abuse identifier","Abuse prevention and investigation","event time","7 days","none","Essential security notice","security,platform_admin","delete rotating salted HMAC; raw IP excluded from analytics","supported with approved incident or legal case","Security Owner","technical_baseline_approved_legal_review_required","redaction and purge test","planned"
"RET-03","DATA-C2","Optional analytics event","Measure Feed to Place to Decision Intent","event time","90 days raw","12 months aggregate","Explicit opt-in; withdrawal stops future events","data analyst via restricted aggregate","purge raw; retain non-identifying aggregate","supported with approved legal hold","Product / Privacy Owner","legal_approval_required_optional_analytics_off","consent and purge evidence","blocked_pending_legal"
"RET-04","DATA-C2","Raw search query","Request-time search only","request completion","not persisted","none","Not applicable","none after request","memory/request disposal; excluded from logs and analytics","not applicable","Search Owner","approved_in_TEC-05","no-persistence test","approved_baseline"
"RET-05","DATA-C3","Correction or takedown contact","Resolve and communicate case","case closure","12 months","none","Case privacy notice","assigned support or trust role","delete or anonymize after expiry","supported for dispute or legal hold","Trust / Privacy Owner","legal_approval_required","purge report","planned"
"RET-06","DATA-C3","Restricted request evidence","Prove claim and decision","case closure","12 months","none","Case privacy notice","named trust role by assignment","delete object and reference after expiry","supported for dispute or legal hold","Trust / Privacy Owner","legal_approval_required","storage deletion and audit evidence","planned"
"RET-07","DATA-C3","Business audit event","Who changed what and when","event time","12 months online","up to 24 months encrypted","Admin privacy notice","auditor,platform_admin by purpose","archive expiry deletion; application cannot update/delete","supported for dispute, incident or legal hold","Security / Business Owner","technical_baseline_approved_legal_review_required","append-only and archive test","planned"
"RET-08","DATA-C2","Application log and trace","Debug and performance","event time","30 days logs; 14 days traces","none","Essential operational notice","operations role","provider expiry and verified deletion","incident-selected hold only","Operations Owner","technical_baseline","redaction and retention configuration","planned"
"RET-09","DATA-C3","Security event","Detection and investigation","event time","90 days online","up to 12 months encrypted","Essential security notice","security,auditor by purpose","provider expiry and archive deletion","supported for active incident or legal hold","Security Owner","technical_baseline_approved_legal_review_required","unsampled required-event and archive test","planned"
"RET-10","DATA-C3","Encrypted backup","Disaster recovery","backup creation","35-day rolling","12 monthly recovery points","Operational privacy notice","recovery role only","scheduled expiry and cryptographic/key lifecycle control","supported with approved recovery or legal hold","Recovery Owner","REV-03_and_REV-04_approved_design_baseline","backup inventory and timed restore","planned"
