"id","type","name","phase","source","weight_or_use","persistence","organic_rank_allowed","privacy_control","commercial_integrity","status"
"RF-01","ranking_feature","Lexical match","MVP Phase 1","canonical name, approved aliases and search projection","0.50","ranking version and aggregate metrics only","yes","No raw query persistence","Independent of payment","provisional_baseline"
"RF-02","ranking_feature","Intent match","MVP Phase 1","CON-01 approved intent terms","0.20","intent ID aggregate","yes","No free-text analytics payload","Independent of payment","provisional_baseline"
"RF-03","ranking_feature","Category match","MVP Phase 1","active taxonomy and selected category","0.15","category ID aggregate","yes","Public taxonomy only","Independent of payment","provisional_baseline"
"RF-04","ranking_feature","Area match","MVP Phase 1","active pilot area and selected area","0.10","area ID aggregate","yes","No GPS or near-me in MVP","Independent of payment","provisional_baseline"
"RF-05","ranking_feature","Price match","MVP Phase 1","approved Place price band and selected price band","0.05","price-band aggregate","yes","No payment-card or buyer financial data","Independent of payment","provisional_baseline"
"SIG-01","request_signal","Raw query","MVP Phase 1","current request","parse and rank current request","request scope only","yes","Not persisted in analytics or logs","Never shared with Sponsor","approved_boundary"
"SIG-02","derived_signal","Normalized intent, category, area and price","MVP Phase 1","server parser plus CON-01 registry","search, filtering and zero-result analysis","approved aggregate only","yes","No original free-text payload","Independent of campaign","approved_boundary"
"SIG-03","event_signal","Result impression","MVP Phase 1","anonymous consented event","coverage and position evaluation","deduplicated anonymous event","no","Event allowlist and retention policy","Organic and Sponsored reported separately","approved_boundary"
"SIG-04","event_signal","Place open or source click","MVP Phase 1","anonymous consented event","search funnel evidence","deduplicated anonymous event","no","Interest signal only","Cannot buy positive organic rank","approved_boundary"
"SIG-05","event_signal","Map, call or message Decision Intent","MVP Phase 1 and Phase 2 evidence","anonymous consented event","outcome evidence and later experiment","deduplicated anonymous aggregate","no","Intent is not visit or sale","Organic and Sponsored reported separately","approved_boundary"
"SIG-06","commercial_signal","Partner, Sponsored or payment","MVP Phase 1","commercial records","paid-slot eligibility and campaign reporting","contract and audit retention","no","Restricted business and audit access","Must never enter organic formula","approved_boundary"
"SIG-07","trust_signal","Admin verification and freshness","MVP Phase 1","canonical Place and moderation records","eligibility, labels and stale suppression","canonical record and audit trail","hard_gate_only","Public label plus restricted audit detail","Paid verification cannot create positive organic weight","approved_boundary"
"SPON-01","placement_control","Sponsored slot","MVP Phase 1","active eligible campaign after organic list is complete","reserved labeled placement only","campaign impression and click reporting","no","No personalization from commercial record","100 percent disclosure; no organic score mutation","provisional_baseline"
