control_id,domain,threat_or_requirement,control,owner,implementation_evidence,test_evidence,release_gate,status,exception_owner,exception_expiry,notes
"IAM-01","identity_access","Managed OIDC","Use managed OIDC; prohibit local Production Admin password database.","Identity / Platform Owner","pending","pending","G-SEC-02","planned_pending_evidence","","","0.1 draft"
"IAM-02","identity_access","MFA","Require MFA for every Admin; prefer phishing-resistant factor for privileged roles.","Identity / Platform Owner","pending","pending","G-SEC-02","planned_pending_evidence","","","0.1 draft"
"IAM-03","identity_access","Session storage","Use Secure HttpOnly SameSite cookie; rotate session after privilege changes.","Identity / Platform Owner","pending","pending","G-SEC-02","planned_pending_evidence","","","0.1 draft"
"IAM-04","identity_access","Session timeout","Proposed idle 30m, absolute 12h and privileged step-up 15m.","Identity / Platform Owner","pending","pending","G-SEC-02","planned_pending_evidence","","","0.1 draft"
"IAM-05","identity_access","Step-up","Require step-up for role, export, secret, backup, deploy and break-glass actions.","Identity / Platform Owner","pending","pending","G-SEC-02","planned_pending_evidence","","","0.1 draft"
"IAM-06","identity_access","Revocation","Disable or role removal revokes sessions within 15 minutes.","Identity / Platform Owner","pending","pending","G-SEC-02","planned_pending_evidence","","","0.1 draft"
"IAM-07","identity_access","Break-glass","Use sealed recovery factors, immediate alert and post-use review.","Identity / Platform Owner","pending","pending","G-SEC-02","planned_pending_evidence","","","0.1 draft"
"IAM-08","identity_access","Access review","Quarterly access review; disable undocumented dormant accounts over 45 days.","Identity / Platform Owner","pending","pending","G-SEC-02","planned_pending_evidence","","","0.1 draft"
"APP-01","application_security","Public data boundary","Explicit Public/Admin DTO and Published canonical recheck.","Application / Security Owner","pending","pending","G-SEC-04","planned_pending_evidence","","","0.1 draft"
"APP-02","application_security","Input validation","Validate schema, size, type, enum and URL; reject unknown privileged fields.","Application / Security Owner","pending","pending","G-SEC-04","planned_pending_evidence","","","0.1 draft"
"APP-03","application_security","Injection","Use parameterized Drizzle/SQL; review raw SQL and dynamic identifiers.","Application / Security Owner","pending","pending","G-SEC-04","planned_pending_evidence","","","0.1 draft"
