control_id,cadence,control,owner,required_evidence,completed_at,result
"OPS-C01","daily","Open shift and review handover/incident/alerts","Operations","shift log","","not_run"
"OPS-C02","daily","Verify backup/WAL and failed jobs","Recovery/Operations","backup dashboard/task","","not_run"
"OPS-C03","daily","Review P0/P1 takedown and trust queue","Trust","case/audit","","not_run"
"OPS-C04","daily","Review publish/readiness queue and independent preview","Content/Publisher","place/source/audit","","not_run"
"OPS-C05","daily","Review stale/source retry/dead-letter/duplicate","Content/Operations","maintenance task","","not_run"
"OPS-C06","daily","Review correction/support SLA and blocked evidence","Support","case/SLA","","not_run"
"OPS-C07","daily","Verify active campaign window/label/eligibility","Commercial","campaign audit","","not_run"
"OPS-C08","daily","Close shift with named handover","Operations","handover record","","not_run"
"OPS-C09","weekly","Sample published records and attribution/trust/freshness","Publisher/Trust","sample report","","not_run"
"OPS-C10","weekly","Reconcile analytics QA log/ingest/aggregate","Data/QA","reconciliation report","","not_run"
"OPS-C11","weekly","Review SLA, defects, capacity and partner summary","Owners","weekly review","","not_run"
"OPS-C12","monthly","Run isolated timed PostgreSQL restore","Recovery Owner","TEC-06 runbook","","not_run"
"OPS-C13","monthly","Review patch, secret, cost, capacity and incident trend","Platform/Security","monthly control record","","not_run"
"OPS-C14","quarterly","Review access and break-glass","Identity/Security","signed access review","","not_run"
"OPS-C15","quarterly","Reconstruct clean host and sample evidence restore","Platform/Recovery","exercise record","","not_run"
"OPS-C16","quarterly","Review vendor, risk and SOP training acknowledgement","Product/Operations","review record","","not_run"
